Comment,Designator,Footprint,JLCPCB Part #（optional）,
22uF,"C1,C2,C6,C7,C8",22 uF 0402 Capacitor,C415703,
2.2uF,C3,2.2 uF 0402 Capacitor,C12530,
0.1uF,"C4,C11,C29,C34",0.1 uF 0402 Capacitor,C1525,
33pF,"C16,C17,C18,C22,C23",33 pF 0402 Capacitor,C1562,
100nF,"C20,C21",100 nF 0402 Capacitor,C1525,
10pF,"C24,C25",10 pF 0402 Capacitor,C32949,
C_Polarized_US,"C26,C28",330 碌F Molded Tantalum Capacitors 6 V 1411 (3528 Metric) 800mOhm,C347529,
4.7uF,"C30,C31,C33",4.7 碌F 卤20% 10V Ceramic Capacitor X5R 0402 (1005 Metric),C23733,
SMF05C,D1,12.5V Clamp 8A (8/20碌s) Ipp Tvs Diode Surface Mount SC-70-6,C85191,
FerriteBead,"FB1,FB2,FB3,FB4",30 Ohms @ 100 MHz 1 Ferrite Bead 0805 (2012 Metric) 10A 3mOhm,C15957,
SIM8060-6-0-14-00-A,J1,"SIM NANO HINGED, 6P, 1.40MM PROF",C111371,
TSM-116-01-L-SV,J2,"Connector Header Surface Mount 16 position 0.100"" (2.54mm)",,
TSM-112-01-L-SV,J3,"Connector Header Surface Mount 12 position 0.100"" (2.54mm)",,
U.FL-R-SMT,J4,"U.FL (UMCC) Connector Receptacle, Male Pin 50Ohm Surface Mount Solder",C434808,
1 uH,L1,1 碌H Shielded Molded Inductor 12 A 9mOhm Max 1616 (4040 Metric),,
1.24M,R1,1.24M Ohm 0402 Resistor,C166533,
182k,R2,182k Ohm 0402 Resistor,C226822,
0,"R3,R6,R21,R22",0 Ohm 0402 Resistor,C17168,
15k,R8,15k Ohm 0402 Resistor,C25756,
470,R14,470 Ohm 0402 Resistor,C25117,
100k,R15,100k Ohm 0402 Resistor,C25741,
BG96,U1,Quectel BG96 Cellular Module,C3010493,
TPS63020QDSJTQ1,U2,High Efficiency Single Inductor Buck-Boost Converter with 4A Switch 14-VSON -40 to 85,C202140,
TXB0108DQSR,U3,TXB0108 8-Bit Bidirectional Voltage-Level Translator,C427057,
MAX8868EUK30+T,U4,Linear Voltage Regulator IC Positive Fixed 1 Output 150mA SOT-23-5,"C37970
",
D_TVS,VD1,"Varistor 1 Circuit Surface Mount, MLCV 0402 (1005 Metric)",C316053,
BLUE,VD4,Blue 470nm LED Indication - Discrete 3.2V 0603 (1608 Metric),C72041,
SS2030FL_R1_00001,"VD5,VD6",Diode 30 V 2A Surface Mount SOD-123FL,C167645,
DTC043TEBTL,"VT3,VT4",Pre-Biased Bipolar Transistor (BJT) NPN - Pre-Biased 50 V 100 mA 250 MHz 150 mW Surface Mount EMT3F (SOT-416FL),C2971747,